frame,time,Ec,Ep,Em
0,0,80000,-99092.1,-19092.1
1000,0.05,80022.3,-99114.4,-19092.1
2000,0.1,80060.6,-99245.4,-19184.8
3000,0.15,80099,-99379.1,-19280.1
4000,0.2,80136.9,-99584.1,-19447.1
5000,0.25,80175.5,-99710.1,-19534.6
6000,0.3,80214.9,-99910.1,-19695.2
7000,0.35,80255.9,-100027,-19770.9
8000,0.4,80298.7,-100218,-19919.7
9000,0.45,80344.9,-100219,-19874
10000,0.5,80397.8,-100409,-20011.1
11000,0.55,80461.5,-100604,-20142.9
12000,0.6,80525.4,-100860,-20334.8
13000,0.65,80614.5,-100967,-20352.9
14000,0.7,80739.5,-101155,-20415.1
15000,0.75,80895.6,-101387,-20491.6
16000,0.8,81160,-101698,-20538.1
17000,0.85,80754.2,-101427,-20672.7
18000,0.9,79723.2,-100473,-20750.2
19000,0.95,79240.2,-100102,-20861.5
20000,1,78671.2,-99530.9,-20859.7
21000,1.05,78316.6,-99184.8,-20868.2
22000,1.1,78361.9,-99305.8,-20943.9
23000,1.15,77403,-98421.9,-21019
24000,1.2,77742.7,-98733.6,-20990.9
25000,1.25,77738.1,-98699.3,-20961.2
26000,1.3,77167.2,-98111.3,-20944.1
27000,1.35,76836.8,-97810.6,-20973.8
28000,1.4,75868.7,-96812.6,-20943.9
29000,1.45,76566.5,-97463.4,-20896.9
30000,1.5,76095,-96988.3,-20893.3
31000,1.55,75981.4,-96864.2,-20882.9
32000,1.6,75952.5,-96812,-20859.5
33000,1.65,76094.8,-96925.8,-20831
34000,1.7,76694.6,-97493.7,-20799.1
35000,1.75,76004.6,-96794.1,-20789.5
36000,1.8,76195.7,-96953.8,-20758.1
37000,1.85,77165.8,-97894.7,-20728.9
38000,1.9,76190,-96872.5,-20682.5
39000,1.95,76249.3,-96904.3,-20655
40000,2,75891,-96550.7,-20659.7
41000,2.05,76236,-96908.1,-20672.2
42000,2.1,76084.7,-96757.9,-20673.2
43000,2.15,75521.8,-96201.3,-20679.5
44000,2.2,76227.7,-96913.9,-20686.3
45000,2.25,76602.5,-97278.7,-20676.2
46000,2.3,76714.3,-97403.3,-20689
47000,2.35,76730.7,-97421,-20690.3
48000,2.4,76782.5,-97464.7,-20682.1
49000,2.45,77160.7,-97851.3,-20690.7
50000,2.5,76755.9,-97442.4,-20686.5
51000,2.55,76827.5,-97501.8,-20674.3
52000,2.6,76921.4,-97595.9,-20674.4
53000,2.65,76757,-97421.4,-20664.4
54000,2.7,76658.4,-97317.5,-20659.1
55000,2.75,76983,-97628.5,-20645.5
56000,2.8,76757.5,-97401.1,-20643.7
57000,2.85,76724,-97359.4,-20635.4
58000,2.9,76774.2,-97400.8,-20626.6
59000,2.95,76841.1,-97450.9,-20609.8
60000,3,76749.7,-97342.5,-20592.9
61000,3.05,77085.1,-97666,-20580.9
62000,3.1,76199.2,-96765.6,-20566.4
63000,3.15,76801.9,-97355,-20553.1
64000,3.2,76733.2,-97273.9,-20540.7
65000,3.25,76721.5,-97252.9,-20531.4
66000,3.3,76838.7,-97357.6,-20518.9
67000,3.35,76577.5,-97090.3,-20512.8
68000,3.4,76990.1,-97488.8,-20498.7
69000,3.45,77084.3,-97566.5,-20482.1
70000,3.5,76657.8,-97123.7,-20465.8
71000,3.55,76518.1,-96965.4,-20447.3
72000,3.6,76644.2,-97071,-20426.8
73000,3.65,76654.1,-97070.4,-20416.3
74000,3.7,76918.7,-97325.7,-20407.1
75000,3.75,76846.1,-97238.3,-20392.2
76000,3.8,77022,-97400.5,-20378.5
77000,3.85,76606.2,-96967.2,-20361.1
78000,3.9,76558.2,-96901.2,-20343
79000,3.95,76367.7,-96691.7,-20324
80000,4,76244.1,-96549.3,-20305.3
81000,4.05,76552.1,-96851.8,-20299.7
82000,4.1,76195.9,-96474.3,-20278.4
83000,4.15,75858.5,-96122.9,-20264.4
84000,4.2,75550.5,-95793.6,-20243.1
85000,4.25,75616.5,-95845.8,-20229.2
86000,4.3,75464.9,-95677.3,-20212.3
87000,4.35,75498.9,-95695.3,-20196.4
88000,4.4,75265.7,-95452.3,-20186.6
89000,4.45,75404.2,-95573.5,-20169.3
90000,4.5,74996.5,-95154.7,-20158.2
91000,4.55,74858.6,-95003.8,-20145.2
92000,4.6,74643.9,-94775.4,-20131.5
93000,4.65,74670.5,-94784.4,-20113.9
94000,4.7,74473.5,-94570.1,-20096.7
95000,4.75,74071.9,-94145.8,-20074
96000,4.8,73716.7,-93772.4,-20055.7
97000,4.85,73587.4,-93625.7,-20038.2
98000,4.9,73423,-93452.1,-20029.1
99000,4.95,73199.1,-93210.1,-20011
100000,5,72743.1,-92732,-19988.9
101000,5.05,72677.1,-92649.6,-19972.5
102000,5.1,72565.8,-92525.9,-19960.1
103000,5.15,72277.1,-92218.7,-19941.6
104000,5.2,72063.2,-91991.9,-19928.8
105000,5.25,71724.5,-91644.4,-19919.9
106000,5.3,71744,-91650.8,-19906.8
107000,5.35,71311.2,-91198.7,-19887.5
108000,5.4,71107,-90982,-19875
109000,5.45,71067.9,-90929.5,-19861.6
110000,5.5,70863.6,-90707.7,-19844.1
111000,5.55,70563.7,-90395.6,-19831.9
112000,5.6,70503.7,-90325,-19821.3
113000,5.65,70364.5,-90169.9,-19805.4
114000,5.7,70146.8,-89949.9,-19803
